time[s] cpu.0.freq[MHz] cpu.0.recload cpu.0.load cpu.1.freq[MHz] cpu.1.recload cpu.1.load cpu.2.freq[MHz] cpu.2.recload cpu.2.load cpu.3.freq[MHz] cpu.3.recload cpu.3.load cpu.4.freq[MHz] cpu.4.recload cpu.4.load cpu.5.freq[MHz] cpu.5.recload cpu.5.load cpu.6.freq[MHz] cpu.6.recload cpu.6.load cpu.7.freq[MHz] cpu.7.recload cpu.7.load max(freqs)[MHz] sum(recloads) max(recloads) sum(loads) max(loads)
1.900 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.925 768 0.333 0.738 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.333 0.738 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.667 0.333 1.476 0.738
1.950 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
1.975 768 0.500 1.107 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.500 1.107 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 1.000 0.500 2.214 1.107
2.000 768 0.000 0.142 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.142 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.285 0.142
2.025 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.050 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.075 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.333 0.738 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.333 0.738 768 0.667 0.333 1.476 0.738
2.100 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.125 768 0.000 0.000 768 0.333 0.738 768 0.333 0.738 768 0.000 0.000 768 0.000 0.000 768 0.333 0.738 768 0.333 0.738 768 0.000 0.000 768 1.333 0.333 2.951 0.738
2.150 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.175 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.200 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.225 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.250 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.275 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.300 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.325 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.350 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.375 768 0.333 0.738 768 0.000 0.000 768 0.200 0.443 768 0.000 0.000 768 0.333 0.738 768 0.000 0.000 768 0.200 0.443 768 0.000 0.000 768 1.067 0.333 2.361 0.738
2.400 768 0.000 0.000 768 0.000 0.000 768 0.500 1.107 768 0.250 0.553 768 0.000 0.000 768 0.000 0.000 768 0.500 1.107 768 0.250 0.553 768 1.500 0.500 3.320 1.107
2.425 768 0.333 0.738 768 0.000 0.000 768 0.333 0.880 768 0.333 0.738 768 0.333 0.738 768 0.000 0.000 768 0.333 0.880 768 0.333 0.738 768 2.000 0.333 4.712 0.880
2.450 768 0.000 0.000 768 0.000 0.000 768 1.000 2.214 768 0.333 0.738 768 0.000 0.000 768 0.000 0.000 768 1.000 2.214 768 0.333 0.738 768 2.667 1.000 5.903 2.214
2.475 768 0.000 0.000 768 0.000 0.000 768 0.000 1.820 768 1.000 2.214 768 0.000 0.000 768 0.000 0.000 768 0.000 1.820 768 1.000 2.214 768 2.000 1.000 8.068 2.214
2.500 768 0.667 1.476 768 0.000 0.000 768 0.000 0.410 768 0.333 1.951 768 0.667 1.476 768 0.000 0.000 768 0.000 0.410 768 0.333 1.951 768 2.000 0.667 7.674 1.951
2.525 768 1.000 2.570 768 0.000 0.000 768 0.000 0.000 768 0.000 0.714 768 1.000 2.570 768 0.000 0.000 768 0.000 0.000 768 0.000 0.714 768 2.000 1.000 6.568 2.570
2.550 768 1.000 4.307 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 1.000 4.307 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 2.000 1.000 8.615 4.307
2.575 768 0.667 4.783 768 0.000 0.000 768 0.000 0.000 768 0.333 0.738 768 0.667 4.783 768 0.000 0.000 768 0.000 0.000 768 0.333 0.738 768 2.000 0.667 11.042 4.783
2.600 768 0.000 3.783 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 3.783 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 7.566 3.783
2.625 768 0.000 2.783 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 2.783 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 5.566 2.783
2.650 768 0.000 1.783 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 1.783 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 3.566 1.783
2.675 768 0.000 0.587 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.587 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 1.174 0.587
2.700 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
2.725 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 768 0.000 0.000 0.000 0.000
